                   Hin-Har                     English
423                                     घन्ना मत ना बोले।                                       Don't speak too much.
424                                          गबरूचोरा से.                                          He is a young man.
425                                                खेगेन?                                      Which direction is it?
426                                          मेई भरसे से.                                              It is raining.
427                                           चालनाचेंगे।                                                Let's dance.
428                                          यामेरीमा से.                                           She is my mother.
429                                           माने नपधना।                                           I will not study.
430                                          माईघुमनजौसु।                                      I am going for a walk.
431                                     पानीपीन दे मन्ने।                                         Let me drink water.
432                                          माने चूआगया।                                                 I am angry.
433                                           बोले मत ना.                                                   Be quite.
434                                     माने देदेया बोतल।                                        Give me this bottle.
435                                  मैनकाल बाजार ग्याथा।                             I went to the market yesterday.
436                                           पागलहोलीवा।                                           She has gone mad.
437                                        तुखास से अपना।                                      You are special to me.
438                                      इस्काब्याहोग्या।                                          He is married now.
439                                 बरसाने ने होरेहया से.                                         It‟s about to rain.
440                                        योमेराबापुहाई।                                            He is my father.
441                                 घने काले बाल से तेरे।                                  You have great black hair.
442                              आजखाने मैं चावलबनाए सेन।                           Have cooked rice today for lunch.
443                                       मेराकलामकिट से?                                            Where is my pen?
444                                         इबकिसा से तू?                                            How are you now?
445                                     वो चोरबीमारोग्या।                                             He is not well.
446                                          योमेराना से.                                           This is not mine.
447                                    मन्नाजंतिसचोरा ने.                                           I don't know him.
448                                              लट्ठबाज।                                          They are fighting.
449                              उरेतेमाह्रागामघनादुर से।                          Our village is far away from here.
450                                          तुझसे इस्ने?                                            Do you know him?
451                                     माने पधानकशौक से.                                            I love to study.
452                                    मैनजानंतिसचोरी ने.                                           I don‟t know her.
453                                       वाह चोरापद्गया।                                               He fell down.
454                                    माईभगवान ने मनुसु।                                           I believe in god.
455                                          तुकीत्तचाली?                                        Where are yougoing ?
456                                           स्वदसाग से.                                              Food is tasty.
457                                    मैं खेत में चल्या।                                     I am going to the farm.
458                                      महाम जशंकरांगाज।                                      We will party tonight.
459                                         थोडीछहबने लो.                                       Please make some tea.
460                                     हे राम! बच्चा ले.                                     Oh god !please save me.
461                               खानेमाई कुंजी बनाया से?                                   What's in dinner tonight?
462                                          कामकर्लेपना।                                               Do your work?
463                                      चू मैट थुआवेमैन।                                        Don‟t make me angry.
464                                   मुख्य तेरेखतिरलयसु।                                      I bought this for you.
465                                     तू कुंजी पढ़े से?                                      What are you studying?
466                                   कुन कून से थारेघरा?                                   Who all are at your home?
467                              कुंजी क्रेजतानेसारा दिन?                                 What you did all day today?
468                                      आज मैं हंडंगयथि।                                      Today I was strolling.
469                                      कालमेरा पेपर से.                                        Tomorrow is my exam.
470                                            सब थिक से?                                          Is everthing okay?
471                                  टन घनसुथरीलाग्रि से.                             You are looking very beautiful.
472                                  ओए! अपनिहाद मुझे रे।                               Excuse me! Be in your limits.
473                                          कालावेगा के?                                     Will you come tomorrow?
474                                            सुन से के?                                          Are you listening?
475                                           टिकाडेट से?                                         Where are you from?
476                                     तू कुंजी करेह से?                                         What are you doing?
477                                मुख्य तेरीबात्देखुंगा।                                         I will wait for you
478                                           बेरा से तन!                                                Do you know!
479                                   चाबी चक्कर से तेरा?                                       What is your problem?
480                                          तुकित्जा से?                                        Where are you going?
481                                     तू कुंजी क्रैकेय?                                             What do you do?
482                                          तुकित्तकासी?                                         Where are you from?
483                              तेरी सौं, मन्नानकार्ययो।                       I swear on you, I have not done this.
484                              मन्ने तरादिलदुखया से के?                                             Did I hurt you?
485                                   योमहरेगामकापानी से।                                 This is my village‟s water.
486                                      तुआंग्रेज़ीन से?                                        Do you know English?
487                     ताड़के ने आपा पार्क\nमैघुमनचलंगे।                     Tomorrow we will go for a walk in park.
488                 घन्ना टी.वी. मतो\nनादेखोइंखखरभोजनेगी।  Don't watch much T.V. or else your eyes will\nbecome weak.
489                              रवि तन्नेमाबोलनलाग्रीसे।                                    Ravi mom is calling you.
490                           अपनादेशकप्रधानमंत्रियों से?                   Who is the prime minister of our country?
491                       केतु मेरे खतीर्दुआविलिया खातिर?                                 Can you bring me medicines?
492                                   मन्ने दुआविलेनी से.                                   I have to take medicines.
493                               अपनादुआखानाखायेपचेलिये।                        Take your medicines after your meal.
494                                काल हम दक्टरधोरेचलंगे।                          Tomorrow we shall go to the doctor
495                               वाह डक्टोरघ्नाबादियासे।                                   That doctor is very nice.
496                               वो थोडेभोटपिसेलियाक्रे।                                       His fees is not much.
497                                      योगनालबादिहोग्य।                                     He became very naughty.
498                                      क्वाड बैंड करदे।                                             Close the door.
499                                       तन्ना के कार्य?                                            What did you do?
500                                           मैं के करू?                                           What should I do?
501                                       में कर सकू हुं?                                              What can I do?
502                                           सवाल के वह?                                     What are the questions?
503                                           सवाल के वे?                                    What were the questions?
504                                   अन्तिम स्वाल के था?                                  What is the last question?
505                                 चिट्ठी मा के लिखा हे?                              What is written in the letter?
506                                तेरे से बोल्या गया वो?                                     What you had been told?
507                                         जवाब के होगा?                                    What will be the answer?
508                                       तू किट जावे से?                                        Where are you going?
509                                           काया तन्ने?                                           What did you eat?
510                                       के चल रह्या से?                                            What's going on?
511                                            कोना बेरा।                                               I don't know.
512                                            मन्ने कोनी                                               I don't know.
513                                          के चक्कर है?                                       What is your problem?
514                                        किट का से तुन?                              What's the name of your place?
515                                       घरे कौन कौन से?                                              Who's at home?
516                                       तेरा घर किट से?                                         Where is your home?
517                                         के ज्ञान से?                                                 How are you?
518                                         रोटी खयली के?                                             Had your Bread?
519                                            के धंग से?                                                How are you?
520                                   मनने तेरे ते कही थी                                                 I told you.
521                                    या म्हारी छोरी से।                                          She's my daughter.
522                                     यू म्हारा छोरा से                                                He's my son.
523                                       तुन कद सी आएगा?                                    When you will be coming?
524                                    तेरी बात देखना था।                                      I was waiting for you.
525                              तेरा बयाह हो रिया से के?                                            Are you married?
526                         कुन्न सी जग कन्नी चाल्या तून?                                Which city you are going to?
527                                                 हम्बे                                                         Yes
528                                             चल चलन गे                                                   lets move
529                                               चुप राय                                                      silent
530                                       घन्ना मटना बोले                                        don't speak too much
531                                          गबरू चोरा से                                           He is a young man
532                                            मेई भरे से                                               It is raining
533                                                 आवागा                                                   Will come
534                                                 आवागी                                                   Will come
535                                            एम के करू?                                           What should I do?
536                                      म के कर सकू हुं?                                              What can I do?
537                                         तू क्यों आया?                                           Why did you come?
538                                       तू किस तरह आया?                                           How did you come?
539                            तेरा पसंद का रंग कुन सा ह?                             Which is your favourite colour?
540                                          माँ कथा जौन?                                          Where should I go?
541                                            तू किसा ज?                                                How are you?
542                                   ता खाना खा लिया के?                                         Did you have lunch?
543                             तेरी कलाम मन्ना दूंगा के?                                  Will you give me your pen?
544                                         यो जवाब ह के?                                           Is it the answer?
545                                महरी थीसिस खतमहोगी से।                                   My thesis came to an end.
546                            कालदेकन कॉलेज बंद\nरहवेगा।                 Tomorrow Decan college will remain\nclosed.
547                               राम, श्यामौर राधावेंगे।                       Ram , Shyam and Radha will be coming.
548                                  तन्नूरमनेजवाबेरा से.                                  You and I know the answer.
549                                गांधी जी ने अपना स्कूल                         Gandhi ji wanted to see his school.
550                                   राम ने रोटी खाई से।                                          Ram ate the bread.
551                   इस्लुगाई ने अपना घर कॉर्ड\nदीया से।                                   The woman left her house.
552                                 मोहन ने चारमखलिया से।                                     Mohan ate four mangoes.
553                                  राम ने गायखरीदनी से।                                       Ram has to buy a cow.
554     इस्नेपतिपुत्रकोपनेबडे\nसाम्राज्यकिराजधनीबनाया से।        He made pataliputr, the kindgom of his\nwide empire.
555                               उधव ने गोपियांटेकही से।                                       Udhav told the gopis.
556                             मन्ने अपनीबहन्तेअमदिया से                                   I gave my sister a mango.
557                                         कबाब खावेंगे।                                   The kebabs will be eaten.
558                                     सावलपुचाजारहायसे।                                  A question is being asked.
559                                 बेहेंघननिकसुतिमार्दी।                                     Sister is beaten a lot.
560                                सीताने नुहिपेचनलेवेंज।                          Sita will be recognised right off.
561                                                 एड्डी                                                        Heel
562                                                   आबल                                                      plenty
563                                                   आबल                                                        More
564                                                    आड                                                    cover-up
565                                                  आड़ै                                                        here
566                                                   आढळ                                                To cover-up 
567                                                 आहलणा                                                    The Nest
568                                                 आख्यर                                                     The end
569                                                   आऴी                                                       Our's
570                                              आला-राशी                                                  Hotchpotch
571                                                 आल्ला                                                         Wet
572                                                 आळ्कस                                                    Laziness
573                                                 आँधळा                                                 to pick up 
574                                                 आंगळी                                                     Fingers
575                                             आंख दूखणी                                     bacterial eye infection
576                                                 आंखळी                                                      Uneven
577                                                   आँट                                                    Obstacle
578                                                  अगाऊ                                                  In advance
579                                                  अगेत                                                       Early
580                                                अगनाया                                            The angry person
581                                                 अक्खर                                                        word
582                                                 अळबाद                                                    Mischief
583                                                अळगोजा                                                       flute
584                                                अळभेडा                                               Twistted rope
585                                              अळ्झेड़ा                                                 The quarrel
586                                                अमरीका                                                         USA
587                                                 अंडास                                                    Obstacle
588                                                अँधोड़                                                 Strong wind
589                                                 अंगार                                                        coal
590                                                 अंघाई                                                    Mischief
591                                                 अणहवी                                                  Unexpected
592                                                अणमीता                                                   Plentiful
593                                               अफलातून                                                     Loadful
594                                                   असल                                                      really
595                                                असल का                                                  One’s real
596                                                 असनाई                                      The relatives' village
597                                                 अस्टा                                                        Hard
598                                                औळ-सौळ                                                hanky-panky 
599                                                   ओळा                                                   left side
600                                                 औळिया                                                left-hander 
601                                                 औसणना                                                     To mix 
602                                                    ओट                                                     To hide
603                                        अराड़े-भुराड़े                                                Ugly-looking
604                                                अटेहटा                                            A time consuming
605                                                   औड़                                                     The end
606                                                 बर्रा                                                  thick rope
607                                                    बा                                                 grandfather
608                                                  बाबत                                                  related to
609                                                   बाध                                                        More
610                                                  बाधी                                                       strip
611                                                बाद्दी                                                     Obesity
612                                                  बाही                                                        arms
613                                                 बाण्य                                                       Habit
614                                                  बाँस                                                       odour
615                                                 बारजा                                                     Balcony
616                                                 बारणा                                                     Outside
617                                                 बचूरे                                              Small Children
618                                            बड्डा–बूढा                                              Senior citizen
619                                                 बगाणा                                                    To throw
620                                                 बग्गी                                                   Bull cart
621                                                  बधाण                                                      A long
622                                                बहड़का                                                  Young bull
623                                                  बैरण                                                       Enemy
624                                                   बळध                                                        Bull
625                                                  चाळा                                                     Strange
626                                                   चाम                                                     Leather
627                                                  चालू                                                     clever 
628                                                 चमासा                                                Rainy season
629                                              चंभोचाळी                                                     A sharp
630                                                 चानचक                                                    Suddenly
631                                                 चकूटा                                               Four-cornered
632                                                 चमौला                                                        joke
633                                                चानदणा                                                        Dawn
634                                            चानदणी रात                                             A Moonlit Night
635                                                   चणक                                               The neck pain
636                                                  चपाड                                              Community Hall
637                                                 चपड़स                                                       cloth
638                                                    चर                                                   The small
639                                                 चर्खा                                                    Spinning
640                                                 चौखटा                                                    forehead
641                                                 चीकला                                                Baby sparrow
642                                                 चीथना                                                    To crush
643                                                छब्बाक                                                   Long jump
644                                                   छात                                                        Roof
645                                                  छीदा                                                   scattered
646                                                  छेछर                                                   overreact
647                                                  छीदा                                                        Rare
648                                                 छेतणा                                                    To beat 
649                                                 छिकमा                                                   In plenty
650                                                छिपकली                                                      Lizard
651                                                छ्यावा                                                       house
652                                                छ्यावा                                                     Shelter
653                                                   मैं                                                           I
654                                                    वा                                                         She
655                                                  टीयू                                                         You
656                                                    ये                                                          It
657                                                    इक                                                           A
658                                                     आ                                                        Come
659                                                  आया                                                         Came
660                                                 आवागी                                                   Will come
661                                                 आवागा                                                   Will come
662                                                   खोल                                                        Open
663                                                खुलगया                                                      Opened
664                                                खुलागा                                                   Will open
665                                                   बेथ                                                         Sit
666                                                   चाल                                                        Walk
667                                                  काहा                                                         Eat
668                                                 मूत्र                                                       Drink
669                                                   जीत                                                         Win
670                                                    जा                                                          Go
671                                                   भाग                                                         Run
672                                 वो सेउ खां लग राय वो।                                      He is eating an apple.
673                                      उस्ने सेउ खलीया।                                            He ate an apple.
674                       मन्ना पिचला हफ्ता फिलम देकी थी।                                   I saw the film last week.
675                                  वा बस ताई काल आई थी।                                  She came by bus yesterday.
676                                      रास्ता मैंडर गे।                                    They went to the temple.
677                               वो साड़ी रात सो रया था।                                   He slept the whole night.
678                            उसे पार्चे अच्छे लगते हैं।                           He wrote well in the examination.
679                                           वो खा लीया।                                               He has eaten.
680                                     उस्ने खालिया थाह।                                               He had eaten.
681                                         वो चला गया था                                                He had gone.
682                                             वो आया था                                                He had come.
683                                            वो खावागा।                                                He will eat.
684                                             वो जवागा।                                                 He will go.
685                                            वाह आवागा।                                               He will come.
686                                       तेरा नाम के वह?                                          What is your name?
687                                                   केक                                                        What
688                                                    वह                                                          Is
689                                                  तेरा                                                        Your
690                                       तन्ना के कर्या?                                            What did you do?
691                                          मुझे के करू?                                           What should I do?
692                                  मुझे के कर साको हुन?                                              What can I do?
693                                            सवाल के ठ?                                     What are the questions?
694                                        सवाल के वे वे?                                    What were the questions?
695                                 चिथी मा के लिक्या वह?                              What is written in the letter?
696                                तेरे से बोल्या गया वह?                                     What you had been told?
697                                                  छहवा                                                     Shelter
698                                                चिघनान                                                  False show
699                                         तू क्युन आया?                                           Why did you come?
700                                      तू क्युन सो गया?                                          Why did you sleep?
701                        उस्ना जाना वस्ता क्यूं बोल्या?                                 Why did you tell him to go?
702                             वो थैला क्युन ले कार आया?                                   Why did he bring the bag?
703                                   उसे पैसे क्यों दिए?                                  Why did she pay the money?
704                  हम याहान क्योन बेथे लॉग इन करते हैं?                                     Why did they sit there?
705                                 तन्ना गडी क्योन चाली?                                   Why do you drive the car?
706                       हम लॉग मी मीटिंग साई क्योन अये?                     Why did they come late for the meeting?
707                                     तू किस ताराह आया?                                           How did you come?
708                                    तू किस ताराह सोया?                                          How did you sleep?
709                             तन्ना गदी किस ताराह चाली?                                  How did you drive the car?
710                                       तू काइस लिक्या?                                          How did you write?
711                             मेरे पास मा किटेन सेउ हा?                       How many apples are there in my hand?
712                                       तन्ना किटने लय?                                      How many did you take?
713                           उसे तन्ना कितने रुपिये दिए?                                    How much did he pay you?
714                                   कल का सफार किसा था?                              How was the journey yesterday?
715                                 तू किसा रस्टे सी अया?                                     Which way did you come?
716                           तेरा पसंद का रंग कुन सा हे?                             Which is your favourite colour?
717                               तू कुनसा कामरा मा सोया?                                In which room did you sleep?
718                                तू कुनसी काहनी सुनैया?                                   Which story did you tell?
719                              सब से मीठा फल कुन सा हे?                                Which is the sweetest fruit?
720                 हिंदी का सब से बदहिया अखबर कुन सा वह?                       Which is the best newspaper in Hindi?
721        भरत के किसा प्रैंट की जाननख्य सब से ज्यादा वह?              Which Indian state has the largest population?
722                                     तू कथा सा अया वह?                                  Where are you coming from?
723                                          तू कथा सोया?                                        Where did you sleep?
724                                 मानेगर बाबू की कथा ह?                               Where is the manager’s cabin?
725                                           मा कथा जौन?                                          Where should I go?
726                                   हां एक किताब वह के?                                               Is it a book?
727                                 हान, हां एक किताब वह।                                          Yes, it is a book.
728                                        यो जावब वह के?                                           Is it the answer?
729                                   हान, यो हाय जौब वह।                                      Yes, it is the answer.
730                                 तू मेरे साथ अवागा के?                                      Will you come with me?
731                                मा तेरे साथ चालानुंगा।                                      I shall come with you.
732                              तेरी कलाम मन्ना डेगा के?                                  Will you give me your pen?
733                                          हान, बिलकुल।                                             Yes, of course.
734                            तू मन्ना प्यार कारा वह के?                                             Do you love me?
735                         हैन, मा तन्ना प्यार करुण हुन।                                            Yes, I love you.
736                      ना, मा तन्ना प्यार ना कारुन हुन।                                       No, I don't love you.
737                        तेरी कलाम मन्ना डे साका वह के?                                   Can you give me your pen?
738                               यो डब्बा उठा सका हे के?                                       Can you lift the box?
739                                  परीक्षा दे शक हे के?                                     Can you write the exam?
740                                    तू खान खा लीया के?                                         Did you have lunch?
741                                           तू किसा वह?                                                How are you?
